# name, description, unit, type
ant1_activity, Combined state of the antenna proxy, , discrete
ant1_pos_actual_pointm_azim, Actual azimuth after pointing model, deg, float
ant1_pos_actual_pointm_elev, Actual elevation after pointing model, deg, float
ant1_pos_actual_refrac_azim, Actual azimuth after refraction, deg, float
ant1_pos_actual_refrac_elev, Actual elevation after refraction, deg, float
ant1_pos_actual_scan_azim, Actual azimuth after scan offset, deg, float
ant1_pos_actual_scan_elev, Actual elevation after scan offset, deg, float
ant1_pos_request_pointm_azim, Requested azimuth after pointing model, deg, float
ant1_pos_request_pointm_elev, Requested elevation after pointing, deg, float
ant1_pos_request_refrac_azim, Requested azimuth after refraction, deg, float
ant1_pos_request_refrac_elev, Requested elevation after refraction, deg, float
ant1_pos_request_scan_azim, Requested azimuth after scan offset, deg, float
ant1_pos_request_scan_elev, Requested elevation after scan offset, deg, float
ant1_rfe3_rfe15_noise_coupler_on, RFE Stage 1.5 coupler diode on, , boolean
ant1_rfe3_rfe15_noise_pin_on, RFE Stage 1.5 pin diode on, , boolean
ant1_rfe5_attenuator_horizontal, Horizontal attenuation level, dBm, float
ant1_rfe5_attenuator_vertical, Vertical attenuation level, dBm, float
ant1_target, Current target, , string
ant2_activity, Combined state of the antenna proxy, , discrete
ant2_pos_actual_pointm_azim, Actual azimuth after pointing model, deg, float
ant2_pos_actual_pointm_elev, Actual elevation after pointing model, deg, float
ant2_pos_actual_refrac_azim, Actual azimuth after refraction, deg, float
ant2_pos_actual_refrac_elev, Actual elevation after refraction, deg, float
ant2_pos_actual_scan_azim, Actual azimuth after scan offset, deg, float
ant2_pos_actual_scan_elev, Actual elevation after scan offset, deg, float
ant2_pos_request_pointm_azim, Requested azimuth after pointing model, deg, float
ant2_pos_request_pointm_elev, Requested elevation after pointing, deg, float
ant2_pos_request_refrac_azim, Requested azimuth after refraction, deg, float
ant2_pos_request_refrac_elev, Requested elevation after refraction, deg, float
ant2_pos_request_scan_azim, Requested azimuth after scan offset, deg, float
ant2_pos_request_scan_elev, Requested elevation after scan offset, deg, float
ant2_rfe3_rfe15_noise_coupler_on, RFE Stage 1.5 coupler diode on, , boolean
ant2_rfe3_rfe15_noise_pin_on, RFE Stage 1.5 pin diode on, , boolean
ant2_rfe5_attenuator_horizontal, Horizontal attenuation level, dBm, float
ant2_rfe5_attenuator_vertical, Vertical attenuation level, dBm, float
ant2_target, Current target, , string
ant3_activity, Combined state of the antenna proxy, , discrete
ant3_pos_actual_pointm_azim, Actual azimuth after pointing model, deg, float
ant3_pos_actual_pointm_elev, Actual elevation after pointing model, deg, float
ant3_pos_actual_refrac_azim, Actual azimuth after refraction, deg, float
ant3_pos_actual_refrac_elev, Actual elevation after refraction, deg, float
ant3_pos_actual_scan_azim, Actual azimuth after scan offset, deg, float
ant3_pos_actual_scan_elev, Actual elevation after scan offset, deg, float
ant3_pos_request_pointm_azim, Requested azimuth after pointing model, deg, float
ant3_pos_request_pointm_elev, Requested elevation after pointing, deg, float
ant3_pos_request_refrac_azim, Requested azimuth after refraction, deg, float
ant3_pos_request_refrac_elev, Requested elevation after refraction, deg, float
ant3_pos_request_scan_azim, Requested azimuth after scan offset, deg, float
ant3_pos_request_scan_elev, Requested elevation after scan offset, deg, float
ant3_rfe3_rfe15_noise_coupler_on, RFE Stage 1.5 coupler diode on, , boolean
ant3_rfe3_rfe15_noise_pin_on, RFE Stage 1.5 pin diode on, , boolean
ant3_rfe5_attenuator_horizontal, Horizontal attenuation level, dBm, float
ant3_rfe5_attenuator_vertical, Vertical attenuation level, dBm, float
ant3_target, Current target, , string
ant4_activity, Combined state of the antenna proxy, , discrete
ant4_pos_actual_pointm_azim, Actual azimuth after pointing model, deg, float
ant4_pos_actual_pointm_elev, Actual elevation after pointing model, deg, float
ant4_pos_actual_refrac_azim, Actual azimuth after refraction, deg, float
ant4_pos_actual_refrac_elev, Actual elevation after refraction, deg, float
ant4_pos_actual_scan_azim, Actual azimuth after scan offset, deg, float
ant4_pos_actual_scan_elev, Actual elevation after scan offset, deg, float
